layer,batch-size,test-batch-size,epochs,tv-weight,patience,lr,gamma,mse_loss
2,64,1000.0,14,0.008,2,0.00015,0.7,0.0006
2,64,1000.0,14,0.008,2,0.0002,0.7,0.0006
2,64,1000.0,14,0.008,2,0.00025,0.7,0.0006
2,64,1000.0,14,0.01,2,0.0002,0.7,0.0007
2,64,1000.0,14,0.025,2,0.0002,0.7,0.0018
2,64,1000.0,14,0.05,2,0.00025,0.7,0.0038
2,64,1000.0,14,0.05,2,0.0002,0.7,0.0039
2,64,1000.0,14,0.05,2,0.00015,0.7,0.0039
2,64,1000.0,14,0.1,2,0.0002,0.7,0.0086
2,64,1000.0,14,0.5,2,0.0002,0.7,0.0156
2,64,,14,0.8,2,0.0001,,0.0162
2,64,,14,0.8,2,0.0002,,0.0162
2,64,1000.0,14,1.0,2,0.00015,0.7,0.0165
2,64,1000.0,14,1.0,2,0.00018,0.7,0.0165
2,64,1000.0,14,1.0,2,0.0002,0.7,0.0165
2,64,1000.0,14,1.0,2,0.00025,0.7,0.0165
